highway,quietness,cycleway
cycleway,100,bikepath
cycleway,100,shared_path
footway,80,NA
footway,80,separated_lane
living_street,100,simple_lane
living_street,80,NA
living_street,100,separated_lane
motorway,10,NA
motorway,10,simple_lane
motorway_link,10,NA
motorway_link,10,simple_lane
path,80,NA
path,80,separated_lane
pedestrian,80,NA
pedestrian,80,separated_lane
primary,45,simple_lane
primary,25,NA
primary,65,separated_lane
primary,75,bikepath
primary,35,shared_street
primary_link,45,simple_lane
primary_link,25,NA
primary_link,65,separated_lane
residential,100,simple_lane
residential,80,NA
residential,100,separated_lane
residential,100,bikepath
residential,90,shared_street
road,90,simple_lane
road,70,NA
road,100,separated_lane
secondary,70,simple_lane
secondary,50,NA
secondary,90,separated_lane
secondary,100,bikepath
secondary,60,shared_street
secondary_link,50,NA
secondary_link,70,simple_lane
secondary_link,90,separated_lane
secondary_link,60,shared_street
service,90,simple_lane
service,70,NA
service,100,separated_lane
steps,10,NA
tertiary,80,simple_lane
tertiary,60,NA
tertiary,100,separated_lane
tertiary,100,bikepath
tertiary,70,shared_street
tertiary_link,80,simple_lane
tertiary_link,60,NA
tertiary_link,100,separated_lane
tertiary_link,70,shared_street
track,70,NA
track,80,separated_lane
trunk,40,simple_lane
trunk,20,NA
trunk,60,separated_lane
trunk,70,bikepath
trunk_link,40,simple_lane
trunk_link,20,NA
trunk_link,60,separated_lane
unclassified,90,simple_lane
unclassified,70,NA
unclassified,100,separated_lane
unclassified,100,bikepath
unclassified,80,shared_street
corridor,100,NA
steps,100,separated_lane
